	AGR	OIL	IND	SER	LAB	CAP	LAND	NTR	DTX	IDT	ACT	HOH	GOV	INV	EXT	TOTAL
AGR	7	2	56	15	0	0	0	0	0	0	0	34	2	0	2	118
OIL	0	4	134	11	0	0	0	0	0	0	0	0	0	0	866.4350515	1015.435052
IND	15	13	316	312	0	0	0	0	0	0	0	396	265	115	306	1738
SER	9	8	147	250	0	0	0	0	0	0	0	408	611	370	34	1837
LAB	7	28	87	429	0	0	0	0	0	0	0	0	0	0	0	551
CAP	26	68	351	606	0	0	0	0	0	0	0	0	0	0	0	1051
LAND	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
NTR	0	890.4350515	0	0	0	0	0	0	0	0	0	0	0	0	0	890.4350515
DTX	0	0	0	0	0	0	0	0	0	0	0	948	0	0	0	948
IDT	1	0	20	0	0	0	0	0	0	0	0	0	0	0	0	21
ACT	-4	0	1	12	0	0	0	0	0	0	0	0	0	0	0	9
HOH	0	0	0	0	551	1051	24	890.4350515	0	0	0	0	100	0	0	2616.435052
GOV	0	0	0	0	0	0	0	0	948	21	9	0	0	0	0	978
INV	0	0	0	0	0	0	0	0	0	0	0	189	0	0	296	485
EXT	33	2	626	202	0	0	0	0	0	0	0	641.435	0	0	0	1504.435052
TOTAL	118	1015.435052	1738	1837	551	1051	24	890.4350515	948	21	9	2616.435052	978	485	1504.435052	
