,AGR,OIL,IND,SER,LAB,CAP,LAND,NTR,DTX,IDT,ACT,HOH,GOV,INV,EXT
AGR,7,2,56,15,0,0,0,0,0,0,0,34,2,0,2
OIL,0,4,134,11,0,0,0,0,0,0,0,0,0,0,866.4350515
IND,15,13,316,312,0,0,0,0,0,0,0,396,265,115,306
SER,9,8,147,250,0,0,0,0,0,0,0,408,611,370,34
LAB,7,28,87,429,0,0,0,0,0,0,0,0,0,0,0
CAP,26,68,351,606,0,0,0,0,0,0,0,0,0,0,0
LAND,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NTR,0,890.4350515,0,0,0,0,0,0,0,0,0,0,0,0,0
DTX,0,0,0,0,0,0,0,0,0,0,0,948,0,0,0
IDT,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0
ACT,-4,0,1,12,0,0,0,0,0,0,0,0,0,0,0
HOH,0,0,0,0,551,1051,24,890.4350515,0,0,0,0,100,0,0
GOV,0,0,0,0,0,0,0,0,948,21,9,0,0,0,0
INV,0,0,0,0,0,0,0,0,0,0,0,189,0,0,296
EXT,33,2,626,202,0,0,0,0,0,0,0,641.435,0,0,0
